text,Anonymized_Text,Deanonymized_Text,Masked_Text
Some of the coffee I wanted came spilled; the coffee tasted dry. Also; my wife's order was wrong.,Some of the coffee I wanted came spilled; the coffee tasted dry. Also; my wife's order was wrong.,Some of the coffee I wanted came spilled; the coffee tasted dry. Also; my wife's order was wrong.,Some of the coffee I wanted came spilled; the coffee tasted dry. Also; my wife's order was wrong.
Great.,Great.,Great.,Great.
Lovely; affordable seafront spot to while away the afternoon smoking nargile and playing backgammon (tavla). Super hospitable employees and enjoyable ambience.,Lovely; affordable seafront spot to while away the afternoon smoking nargile and playing backgammon (tavla). Super hospitable employees and enjoyable ambience.,Lovely; affordable seafront spot to while away the afternoon smoking nargile and playing backgammon (tavla). Super hospitable employees and enjoyable ambience.,Lovely; affordable seafront spot to while away the afternoon smoking nargile and playing backgammon (tavla). Super hospitable employees and enjoyable ambience.
A cheap and delicious place. If you are passing by; you should not continue without having a cup of tea.,A cheap and delicious place. If you are passing by; you should not continue without having a cup of tea.,A cheap and delicious place. If you are passing by; you should not continue without having a cup of tea.,A cheap and delicious place. If you are passing by; you should not continue without having a cup of tea.
Seaside great view!,Seaside great view!,Seaside great view!,Seaside great view!
Prices are nice,Prices are nice,Prices are nice,Prices are nice
Bitter; mango; Bodrum tangerine; honey almond; Big Babas; mastic gum; walnut; blackberry and forest fruit definitely recommend..,Bitter; mango; Bodrum tangerine; honey almond; Big Babas; mastic gum; walnut; blackberry and forest fruit definitely recommend..,Bitter; mango; Bodrum tangerine; honey almond; Big Babas; mastic gum; walnut; blackberry and forest fruit definitely recommend..,Bitter; mango; Bodrum tangerine; honey almond; Big Babas; mastic gum; walnut; blackberry and forest fruit definitely recommend..
The prices are cheap from the center; the ice cream is legendary; don't miss out; it's worth waiting in line; it's the best ice cream shop in Fethiye. Real milk ice cream,The prices are cheap from the center; the ice cream is legendary; don't miss out; it's worth waiting in line; it's the best ice cream shop in Fethiye. Real milk ice cream,The prices are cheap from the center; the ice cream is legendary; don't miss out; it's worth waiting in line; it's the best ice cream shop in Fethiye. Real milk ice cream,The prices are cheap from the center; the ice cream is legendary; don't miss out; it's worth waiting in line; it's the best ice cream shop in Fethiye. Real milk ice cream
Absolutely perfect come try it..,Absolutely perfect come try it..,Absolutely perfect come try it..,Absolutely perfect come try it..
Terrible. This is a lie. This is not ice cream! This gum is an ice cream substitute.,Terrible. This is a lie. This is not ice cream! This gum is an ice cream substitute.,Terrible. This is a lie. This is not ice cream! This gum is an ice cream substitute.,Terrible. This is a lie. This is not ice cream! This gum is an ice cream substitute.
As I was crossing the road; I noticed that we stopped. The light ad is very good because everything has ice cream icons. The only normal price I've seen in Fethiye is 6 TL.,As I was crossing the road; I noticed that we stopped. The light ad is very good because everything has ice cream icons. The only normal price I've seen in <LOCATION_3> is 6 TL.,As I was crossing the road; I noticed that we stopped. The light ad is very good because everything has ice cream icons. The only normal price I've seen in Fethiye is 6 TL.,As I was crossing the road; I noticed that we stopped. The light ad is very good because everything has ice cream icons. The only normal price I've seen in <LOCATION_3> is 6 TL.
The atmosphere of the place was nice; if you want to taste the ice creams; I can say that it is an ordinary ice cream that you can eat anywhere.,The atmosphere of the place was nice; if you want to taste the ice creams; I can say that it is an ordinary ice cream that you can eat anywhere.,The atmosphere of the place was nice; if you want to taste the ice creams; I can say that it is an ordinary ice cream that you can eat anywhere.,The atmosphere of the place was nice; if you want to taste the ice creams; I can say that it is an ordinary ice cream that you can eat anywhere.
It literally gave me the feeling of chewing sugar. It's not even about ice cream.,It literally gave me the feeling of chewing sugar. It's not even about ice cream.,It literally gave me the feeling of chewing sugar. It's not even about ice cream.,It literally gave me the feeling of chewing sugar. It's not even about ice cream.
We visited with my friends. The lemon one was great!,We visited with my friends. The lemon one was great!,We visited with my friends. The lemon one was great!,We visited with my friends. The lemon one was great!
A great taste. I went on recommendation; it was really true. I also recommend it to you.,A great taste. I went on recommendation; it was really true. I also recommend it to you.,A great taste. I went on recommendation; it was really true. I also recommend it to you.,A great taste. I went on recommendation; it was really true. I also recommend it to you.
Their prices are very reasonable and their ice creams are delicious. There is not only ice cream but also dessert sales inside. There are many options for ice cream; which is a very nice detail.,Their prices are very reasonable and their ice creams are delicious. There is not only ice cream but also dessert sales inside. There are many options for ice cream; which is a very nice detail.,Their prices are very reasonable and their ice creams are delicious. There is not only ice cream but also dessert sales inside. There are many options for ice cream; which is a very nice detail.,Their prices are very reasonable and their ice creams are delicious. There is not only ice cream but also dessert sales inside. There are many options for ice cream; which is a very nice detail.
On the way to the city center of Fethiye; a sweet place caught our attention. The ice cream cone-shaped totem on the road was very original.,On the way to the city center of Fethiye; a sweet place caught our attention. The ice cream cone-shaped totem on the road was very original.,On the way to the city center of Fethiye; a sweet place caught our attention. The ice cream cone-shaped totem on the road was very original.,On the way to the city center of Fethiye; a sweet place caught our attention. The ice cream cone-shaped totem on the road was very original.
The hamburger bread was very nice. I didn't like his meatballs very much.Orders are coming out very quickly; and the working friends are very kind; thank you.,The hamburger bread was very nice. I didn't like his meatballs very much.Orders are coming out very quickly; and the working friends are very kind; thank you.,The hamburger bread was very nice. I didn't like his meatballs very much.Orders are coming out very quickly; and the working friends are very kind; thank you.,The hamburger bread was very nice. I didn't like his meatballs very much.Orders are coming out very quickly; and the working friends are very kind; thank you.
A place that makes unorthodox burgers in Samsun. The hamburger bread is big and wide with lots of sesame seeds.,A place that makes unorthodox burgers in Samsun. The hamburger bread is big and wide with lots of sesame seeds.,A place that makes unorthodox burgers in Samsun. The hamburger bread is big and wide with lots of sesame seeds.,A place that makes unorthodox burgers in Samsun. The hamburger bread is big and wide with lots of sesame seeds.
It's a very nice place; the hamburger is very nice. The staff is very good; there is a children's playground,It's a very nice place; the hamburger is very nice. The staff is very good; there is a children's playground,It's a very nice place; the hamburger is very nice. The staff is very good; there is a children's playground,It's a very nice place; the hamburger is very nice. The staff is very good; there is a children's playground
The place is nice; the waiters work sulkily. The location; service and presentation are beautiful. And his hamburger might be the most mediocre hamburger I've ever had. There is no meat taste in the meatball.,The place is nice; the waiters work sulkily. The location; service and presentation are beautiful. And his hamburger might be the most mediocre hamburger I've ever had. There is no meat taste in the meatball.,The place is nice; the waiters work sulkily. The location; service and presentation are beautiful. And his hamburger might be the most mediocre hamburger I've ever had. There is no meat taste in the meatball.,The place is nice; the waiters work sulkily. The location; service and presentation are beautiful. And his hamburger might be the most mediocre hamburger I've ever had. There is no meat taste in the meatball.
Mushroom burger the meat stays thin inside the huge burger bread; and the meat and mushrooms do not stay in the bread because of the sauce applied on the bread.,Mushroom burger the meat stays thin inside the huge burger bread; and the meat and mushrooms do not stay in the bread because of the sauce applied on the bread.,Mushroom burger the meat stays thin inside the huge burger bread; and the meat and mushrooms do not stay in the bread because of the sauce applied on the bread.,Mushroom burger the meat stays thin inside the huge burger bread; and the meat and mushrooms do not stay in the bread because of the sauce applied on the bread.
They have really saturated menus. The prices are very good; and as a place with a very nice interior and exterior decor with sea views; I would definitely recommend it at the same time.,They have really saturated menus. The prices are very good; and as a place with a very nice interior and exterior decor with sea views; I would definitely recommend it at the same time.,They have really saturated menus. The prices are very good; and as a place with a very nice interior and exterior decor with sea views; I would definitely recommend it at the same time.,They have really saturated menus. The prices are very good; and as a place with a very nice interior and exterior decor with sea views; I would definitely recommend it at the same time.
I never liked the service very bad; when we brought the wrong burger and returned it; we had to wait that much longer. The potatoes were terrible; the only onion rings and mushrooms were beautiful. I will never go to this place again.,I never liked the service very bad; when we brought the wrong burger and returned it; we had to wait that much longer. The potatoes were terrible; the only onion rings and mushrooms were beautiful. I will never go to this place again.,I never liked the service very bad; when we brought the wrong burger and returned it; we had to wait that much longer. The potatoes were terrible; the only onion rings and mushrooms were beautiful. I will never go to this place again.,I never liked the service very bad; when we brought the wrong burger and returned it; we had to wait that much longer. The potatoes were terrible; the only onion rings and mushrooms were beautiful. I will never go to this place again.
The burger is successful; but the service is very slow; I came to the place 2 times; they bring the order incorrectly.,The burger is successful; but the service is very slow; I came to the place 2 times; they bring the order incorrectly.,The burger is successful; but the service is very slow; I came to the place 2 times; they bring the order incorrectly.,The burger is successful; but the service is very slow; I came to the place 2 times; they bring the order incorrectly.
The menu content is beautifully varied and satisfying.,The menu content is beautifully varied and satisfying.,The menu content is beautifully varied and satisfying.,The menu content is beautifully varied and satisfying.
The price was not right; I bought a 2-piece menu; the burger and bread did not taste good.,The price was not right; I bought a 2-piece menu; the burger and bread did not taste good.,The price was not right; I bought a 2-piece menu; the burger and bread did not taste good.,The price was not right; I bought a 2-piece menu; the burger and bread did not taste good.
The prices were generally reasonable; the tastes were also good enough.,The prices were generally reasonable; the tastes were also good enough.,The prices were generally reasonable; the tastes were also good enough.,The prices were generally reasonable; the tastes were also good enough.
The menus offered by the friendly staff are something else; the flavors we have tasted.,The menus offered by the friendly staff are something else; the flavors we have tasted.,The menus offered by the friendly staff are something else; the flavors we have tasted.,The menus offered by the friendly staff are something else; the flavors we have tasted.
"I would like to thank the service in Fethiye branch and especially Mr. Samet; the official here, for his interest and relevance.","I would like to thank the service in <LOCATION_3> branch and especially Mr. Samet; the official here, for his interest and relevance.","I would like to thank the service in Fethiye branch and especially Mr. Samet; the official here, for his interest and relevance.","I would like to thank the service in <LOCATION_3> branch and especially Mr. Samet; the official here, for his interest and relevance."
The menu is incomplete; not much; usually a disaster with happy sweet toys; felt-tip pens and a few cardboard coloring pages.,The menu is incomplete; not much; usually a disaster with happy sweet toys; felt-tip pens and a few cardboard coloring pages.,The menu is incomplete; not much; usually a disaster with happy sweet toys; felt-tip pens and a few cardboard coloring pages.,The menu is incomplete; not much; usually a disaster with happy sweet toys; felt-tip pens and a few cardboard coloring pages.
Taste is exactly the same as in classic hamburgers; prices are extra high.,Taste is exactly the same as in classic hamburgers; prices are extra high.,Taste is exactly the same as in classic hamburgers; prices are extra high.,Taste is exactly the same as in classic hamburgers; prices are extra high.
Every time I come to Fethiye; I stop by and fill my stomach with pleasure.,Every time I come to Fethiye; I stop by and fill my stomach with pleasure.,Every time I come to Fethiye; I stop by and fill my stomach with pleasure.,Every time I come to Fethiye; I stop by and fill my stomach with pleasure.
In general; everything was good; but the tables were not collected during the 35-45 minutes I was there. It was messy inside.,In general; everything was good; but the tables were not collected during the 35-45 minutes I was there. It was messy inside.,In general; everything was good; but the tables were not collected during the 35-45 minutes I was there. It was messy inside.,In general; everything was good; but the tables were not collected during the 35-45 minutes I was there. It was messy inside.
The ambiance of the place looks a bit old.,The ambiance of the place looks a bit old.,The ambiance of the place looks a bit old.,The ambiance of the place looks a bit old.
They are very fast and the food tastes good too.,They are very fast and the food tastes good too.,They are very fast and the food tastes good too.,They are very fast and the food tastes good too.
The potatoes were almost dead and tasteless.,The potatoes were almost dead and tasteless.,The potatoes were almost dead and tasteless.,The potatoes were almost dead and tasteless.
I didn't like the gloomy; dark atmosphere of the environment; the toilets are dirty; you are disgusted to wash your hands.,I didn't like the gloomy; dark atmosphere of the environment; the toilets are dirty; you are disgusted to wash your hands.,I didn't like the gloomy; dark atmosphere of the environment; the toilets are dirty; you are disgusted to wash your hands.,I didn't like the gloomy; dark atmosphere of the environment; the toilets are dirty; you are disgusted to wash your hands.
There was a hair in the fries; disgusting.,There was a hair in the fries; disgusting.,There was a hair in the fries; disgusting.,There was a hair in the fries; disgusting.
In terms of price; it is above Marmaris prices. In other words; there are menus with prices above the average. I was satisfied with almost everything I ate and drank.,In terms of price; it is above Marmaris prices. In other words; there are menus with prices above the average. I was satisfied with almost everything I ate and drank.,In terms of price; it is above Marmaris prices. In other words; there are menus with prices above the average. I was satisfied with almost everything I ate and drank.,In terms of price; it is above Marmaris prices. In other words; there are menus with prices above the average. I was satisfied with almost everything I ate and drank.
It is a place where the food is as amazing as the cocktails. The sole fish was very good. employees are very engaged.,It is a place where the food is as amazing as the cocktails. The sole fish was very good. employees are very engaged.,It is a place where the food is as amazing as the cocktails. The sole fish was very good. employees are very engaged.,It is a place where the food is as amazing as the cocktails. The sole fish was very good. employees are very engaged.
"Slagethi all nero was excellent. Beef ribs were always tender enough. Cheek, on the other hand; has preserved its taste even though its collection is a little small. If deterioration was to come; the services were passed and the environment was much expected.","Slagethi all nero was excellent. Beef ribs were always tender enough. Cheek, on the other hand; has preserved its taste even though its collection is a little small. If deterioration was to come; the services were passed and the environment was much expected.","Slagethi all nero was excellent. Beef ribs were always tender enough. Cheek, on the other hand; has preserved its taste even though its collection is a little small. If deterioration was to come; the services were passed and the environment was much expected.","Slagethi all nero was excellent. Beef ribs were always tender enough. Cheek, on the other hand; has preserved its taste even though its collection is a little small. If deterioration was to come; the services were passed and the environment was much expected."
As we were passing on the road; it was pleasing to our eyes and we dived in. It was good overall.,As we were passing on the road; it was pleasing to our eyes and we dived in. It was good overall.,As we were passing on the road; it was pleasing to our eyes and we dived in. It was good overall.,As we were passing on the road; it was pleasing to our eyes and we dived in. It was good overall.
For people living in Marmaris; it is a beautiful place to visit in summer and winter. I recommend you to try liver because they serve it in a way I have never tried before and because of its amazing taste.,For people living in Marmaris; it is a beautiful place to visit in summer and winter. I recommend you to try liver because they serve it in a way I have never tried before and because of its amazing taste.,For people living in Marmaris; it is a beautiful place to visit in summer and winter. I recommend you to try liver because they serve it in a way I have never tried before and because of its amazing taste.,For people living in Marmaris; it is a beautiful place to visit in summer and winter. I recommend you to try liver because they serve it in a way I have never tried before and because of its amazing taste.
Wonderful place where you can go with your family and have fun; nice place with live music...,Wonderful place where you can go with your family and have fun; nice place with live music...,Wonderful place where you can go with your family and have fun; nice place with live music...,Wonderful place where you can go with your family and have fun; nice place with live music...
Prices were slightly higher than peers.,Prices were slightly higher than peers.,Prices were slightly higher than peers.,Prices were slightly higher than peers.
Pukka is a restaurant by the sea where you will have the most beautiful pictures and videos where you can organize a nice organization in Marmaris.,Pukka is a restaurant by the sea where you will have the most beautiful pictures and videos where you can organize a nice organization in Marmaris.,Pukka is a restaurant by the sea where you will have the most beautiful pictures and videos where you can organize a nice organization in Marmaris.,Pukka is a restaurant by the sea where you will have the most beautiful pictures and videos where you can organize a nice organization in Marmaris.
Great concept and very tasty food.,Great concept and very tasty food.,Great concept and very tasty food.,Great concept and very tasty food.
Popular place for Winter and Summer; food and drink menu wide enough and delicious.,Popular place for Winter and Summer; food and drink menu wide enough and delicious.,Popular place for Winter and Summer; food and drink menu wide enough and delicious.,Popular place for Winter and Summer; food and drink menu wide enough and delicious.
Delicious. However; prices are as high as Marmaris in general in 2021.,Delicious. However; prices are as high as Marmaris in general in 2021.,Delicious. However; prices are as high as Marmaris in general in 2021.,Delicious. However; prices are as high as Marmaris in general in 2021.
The interior design is simple and pleasant; with balconies and upper floors with sea views.,The interior design is simple and pleasant; with balconies and upper floors with sea views.,The interior design is simple and pleasant; with balconies and upper floors with sea views.,The interior design is simple and pleasant; with balconies and upper floors with sea views.
"I can say that my worst flat white experience. ""Would you like milk?"" they said. I drank more milk than coffee.","I can say that my worst flat white experience. ""Would you like milk?"" they said. I drank more milk than coffee.","I can say that my worst flat white experience. ""Would you like milk?"" they said. I drank more milk than coffee.","I can say that my worst flat white experience. ""Would you like milk?"" they said. I drank more milk than coffee."
A great starbucks branch located in Bodrum center / bazaar / port. It's great because the layout; the environment; the place and the service are very successful.,A great starbucks branch located in <LOCATION_5> <LOCATION_4> / bazaar / port. It's great because the layout; the environment; the place and the service are very successful.,A great starbucks branch located in Bodrum center / bazaar / port. It's great because the layout; the environment; the place and the service are very successful.,A great starbucks branch located in <LOCATION_5> <LOCATION_4> / bazaar / port. It's great because the layout; the environment; the place and the service are very successful.
The place is very narrow; I can say it's the worst starbucks I've ever seen.,The place is very narrow; I can say it's the worst starbucks I've ever seen.,The place is very narrow; I can say it's the worst starbucks I've ever seen.,The place is very narrow; I can say it's the worst starbucks I've ever seen.
It was a pleasant snack; a refreshing drink in hot weather.,It was a pleasant snack; a refreshing drink in hot weather.,It was a pleasant snack; a refreshing drink in hot weather.,It was a pleasant snack; a refreshing drink in hot weather.
"The view is super, the cleanliness is bad, the location is very good","The view is super, the cleanliness is bad, the location is very good","The view is super, the cleanliness is bad, the location is very good","The view is super, the cleanliness is bad, the location is very good"
The place is so sweet. but it gets too crowded in the evenings.,The place is so sweet. but it gets too crowded in the evenings.,The place is so sweet. but it gets too crowded in the evenings.,The place is so sweet. but it gets too crowded in the evenings.
Familiar coffee that I taste,Familiar coffee that I taste,Familiar coffee that I taste,Familiar coffee that I taste
Had to stop by for a take out coffee during the morning hours.,Had to stop by for a take out coffee during the morning hours.,Had to stop by for a take out coffee during the morning hours.,Had to stop by for a take out coffee during the morning hours.
Employees are very warm. in a very pleasant location.,Employees are very warm. in a very pleasant location.,Employees are very warm. in a very pleasant location.,Employees are very warm. in a very pleasant location.
The employees are very good and caring. Best Starbucks..,The employees are very good and caring. Best Starbucks..,The employees are very good and caring. Best Starbucks..,The employees are very good and caring. Best Starbucks..
Here you can find by far the best 4-cheese pizza you can eat in Bodrum. On top of that; you may have reasons to come back again and again with the unusual taste and presentation of the magnolia.,Here you can find by far the best 4-cheese pizza you can eat in Bodrum. On top of that; you may have reasons to come back again and again with the unusual taste and presentation of the magnolia.,Here you can find by far the best 4-cheese pizza you can eat in Bodrum. On top of that; you may have reasons to come back again and again with the unusual taste and presentation of the magnolia.,Here you can find by far the best 4-cheese pizza you can eat in Bodrum. On top of that; you may have reasons to come back again and again with the unusual taste and presentation of the magnolia.
A place we found by chance during the winter season. First of all; we sat down to drink coffee and the environment was so spacious and calm that I was able to hold a meeting that I had to do over the web without any problems.,A place we found by chance during the <DATE_TIME_3> season. First of all; we sat down to drink coffee and the environment was so spacious and calm that I was able to hold a meeting that I had to do over the web without any problems.,A place we found by chance during the winter season. First of all; we sat down to drink coffee and the environment was so spacious and calm that I was able to hold a meeting that I had to do over the web without any problems.,A place we found by chance during the <DATE_TIME_3> season. First of all; we sat down to drink coffee and the environment was so spacious and calm that I was able to hold a meeting that I had to do over the web without any problems.
I have never seen a pizza with such a thin pizza dough that the material did not fall apart. Pizza mista is a great choice for mixed lovers.,I have never seen a pizza with such a thin pizza dough that the material did not fall apart. Pizza mista is a great choice for mixed lovers.,I have never seen a pizza with such a thin pizza dough that the material did not fall apart. Pizza mista is a great choice for mixed lovers.,I have never seen a pizza with such a thin pizza dough that the material did not fall apart. Pizza mista is a great choice for mixed lovers.
It is a very nice place to watch the matches; when it is closed in winter.,It is a very nice place to watch the matches; when it is closed in winter.,It is a very nice place to watch the matches; when it is closed in winter.,It is a very nice place to watch the matches; when it is closed in winter.
A pleasant place with a beach; delicious food,A pleasant place with a beach; delicious food,A pleasant place with a beach; delicious food,A pleasant place with a beach; delicious food
It is a place where you can both enter at home and spend time with pleasure and eat and drink. The beach is very beautiful; your sea is clean. The food is also very good.,It is a place where you can both enter at home and spend time with pleasure and eat and drink. The beach is very beautiful; your sea is clean. The food is also very good.,It is a place where you can both enter at home and spend time with pleasure and eat and drink. The beach is very beautiful; your sea is clean. The food is also very good.,It is a place where you can both enter at home and spend time with pleasure and eat and drink. The beach is very beautiful; your sea is clean. The food is also very good.
It is a business that serves 2 orange juices that are not on the breakfast menu and that I did not order; as if they were on the menu; and charges an extra 40 TL.,It is a business that serves 2 orange juices that are not on the breakfast menu and that I did not order; as if they were on the menu; and charges an extra 40 TL.,It is a business that serves 2 orange juices that are not on the breakfast menu and that I did not order; as if they were on the menu; and charges an extra 40 TL.,It is a business that serves 2 orange juices that are not on the breakfast menu and that I did not order; as if they were on the menu; and charges an extra 40 TL.
We sat at the table; 10m away from the water; went for a swim and then came back to our table. They have changing cabins inside; very clean. Tried some cocktails and they were really good; but prices are like in Kos; Greece where we came from.,We sat at the table; 10m away from the water; went for a swim and then came back to our table. They have changing cabins inside; very clean. Tried some cocktails and they were really good; but prices are like in Kos; <LOCATION_6> where we came from.,We sat at the table; 10m away from the water; went for a swim and then came back to our table. They have changing cabins inside; very clean. Tried some cocktails and they were really good; but prices are like in Kos; Greece where we came from.,We sat at the table; 10m away from the water; went for a swim and then came back to our table. They have changing cabins inside; very clean. Tried some cocktails and they were really good; but prices are like in Kos; <LOCATION_6> where we came from.
It is a restaurant-bar with an extraordinary ambiance. It has an excellent location on Bodrum Beach. The service is top notch and leaves nothing to be desired.,It is a restaurant-bar with an extraordinary ambiance. It has an excellent location on <LOCATION_5> Beach. The service is top notch and leaves nothing to be desired.,It is a restaurant-bar with an extraordinary ambiance. It has an excellent location on Bodrum Beach. The service is top notch and leaves nothing to be desired.,It is a restaurant-bar with an extraordinary ambiance. It has an excellent location on <LOCATION_5> Beach. The service is top notch and leaves nothing to be desired.
Seaside; pleasant place; mediocre food; owners concerned.,Seaside; pleasant place; mediocre food; owners concerned.,Seaside; pleasant place; mediocre food; owners concerned.,Seaside; pleasant place; mediocre food; owners concerned.
Beautifully located restaurant on the beach; very nice staff and very good value for money; would gladly come again.,Beautifully located restaurant on the beach; very nice staff and very good value for money; would gladly come again.,Beautifully located restaurant on the beach; very nice staff and very good value for money; would gladly come again.,Beautifully located restaurant on the beach; very nice staff and very good value for money; would gladly come again.
Nice place with a view. Not bad in terms of food but ordinary.,Nice place with a view. Not bad in terms of food but ordinary.,Nice place with a view. Not bad in terms of food but ordinary.,Nice place with a view. Not bad in terms of food but ordinary.
A place where you pay for the view. In general; although the breakfast is good; 80tl per person for two people 160tl is a bit high.,A place where you pay for the view. In general; although the breakfast is good; 80tl per person for two people 160tl is a bit high.,A place where you pay for the view. In general; although the breakfast is good; 80tl per person for two people 160tl is a bit high.,A place where you pay for the view. In general; although the breakfast is good; 80tl per person for two people 160tl is a bit high.
It has a location by the sea; a layout that allows for indoor and outdoor seating. Their waiters are nervous and sometimes indifferent.,It has a location by the sea; a layout that allows for indoor and outdoor seating. Their waiters are nervous and sometimes indifferent.,It has a location by the sea; a layout that allows for indoor and outdoor seating. Their waiters are nervous and sometimes indifferent.,It has a location by the sea; a layout that allows for indoor and outdoor seating. Their waiters are nervous and sometimes indifferent.
It was very nice that the food was delicious; the place was facing the beauty of Alanya Castle and especially all the staff were interested.,It was very nice that the food was delicious; the place was facing the beauty of Alanya Castle and especially all the staff were interested.,It was very nice that the food was delicious; the place was facing the beauty of Alanya Castle and especially all the staff were interested.,It was very nice that the food was delicious; the place was facing the beauty of Alanya Castle and especially all the staff were interested.
Good salep was good; the employees were smiling..,Good salep was good; the employees were smiling..,Good salep was good; the employees were smiling..,Good salep was good; the employees were smiling..
Food was tasteless. The waiters were not smiling at all.,Food was tasteless. The waiters were not smiling at all.,Food was tasteless. The waiters were not smiling at all.,Food was tasteless. The waiters were not smiling at all.
We wanted mint lemonade; they put mint syrup in the lemonade; when we asked; they said that's what we do; but if you don't like it; we'll change it and they changed it.,We wanted mint lemonade; they put mint syrup in the lemonade; when we asked; they said that's what we do; but if you don't like it; we'll change it and they changed it.,We wanted mint lemonade; they put mint syrup in the lemonade; when we asked; they said that's what we do; but if you don't like it; we'll change it and they changed it.,We wanted mint lemonade; they put mint syrup in the lemonade; when we asked; they said that's what we do; but if you don't like it; we'll change it and they changed it.
A large spacious place. If you want; you can relax inside and have something to drink.,A large spacious place. If you want; you can relax inside and have something to drink.,A large spacious place. If you want; you can relax inside and have something to drink.,A large spacious place. If you want; you can relax inside and have something to drink.
Location is nice. We love it as a family. Pizza was delicious.,Location is nice. We love it as a family. Pizza was delicious.,Location is nice. We love it as a family. Pizza was delicious.,Location is nice. We love it as a family. Pizza was delicious.
Stylish; decent and clean place. I advise.,Stylish; decent and clean place. I advise.,Stylish; decent and clean place. I advise.,Stylish; decent and clean place. I advise.
In a beautiful location by the sea; sometimes it gets very crowded; the service can be delayed,In a beautiful location by the sea; sometimes it gets very crowded; the service can be delayed,In a beautiful location by the sea; sometimes it gets very crowded; the service can be delayed,In a beautiful location by the sea; sometimes it gets very crowded; the service can be delayed
I think it came with a change in taste with the price update.,I think it came with a change in taste with the price update.,I think it came with a change in taste with the price update.,I think it came with a change in taste with the price update.
It's nice; but it's very late. I place an order; it arrives an hour later; I would be happy if it was a little faster.,It's nice; but it's very late. I place an order; it arrives an hour later; I would be happy if it was a little faster.,It's nice; but it's very late. I place an order; it arrives an hour later; I would be happy if it was a little faster.,It's nice; but it's very late. I place an order; it arrives an hour later; I would be happy if it was a little faster.
A delicious doner.,A delicious doner.,A delicious doner.,A delicious doner.
the ambiance was nice.,the ambiance was nice.,the ambiance was nice.,the ambiance was nice.
Interest was good; but doner was a complete disaster. First of all; it came cold; there was no proper sauce in it; there was so much onion that I could not taste the meat at all.,Interest was good; but doner was a complete disaster. First of all; it came cold; there was no proper sauce in it; there was so much onion that I could not taste the meat at all.,Interest was good; but doner was a complete disaster. First of all; it came cold; there was no proper sauce in it; there was so much onion that I could not taste the meat at all.,Interest was good; but doner was a complete disaster. First of all; it came cold; there was no proper sauce in it; there was so much onion that I could not taste the meat at all.
Awesomeee,<PERSON_4>,Awesomeee,<PERSON_4>
"Delicious doner. I went there with my friend, that was she's first. She liked too.","Delicious doner. I went there with my friend, that was she's first. She liked too.","Delicious doner. I went there with my friend, that was she's first. She liked too.","Delicious doner. I went there with my friend, that was she's first. She liked too."
"Nice place, good price; good quality","Nice place, good price; good quality","Nice place, good price; good quality","Nice place, good price; good quality"
Delicious!,Delicious!,Delicious!,Delicious!
It was one of the best doner I've ever eaten in my life. Thank you very much.,It was one of the best doner I've ever eaten in my life. Thank you very much.,It was one of the best doner I've ever eaten in my life. Thank you very much.,It was one of the best doner I've ever eaten in my life. Thank you very much.
There were problems with cleaning. Chefs must wear gloves.,There were problems with cleaning. Chefs must wear gloves.,There were problems with cleaning. Chefs must wear gloves.,There were problems with cleaning. Chefs must wear gloves.
The atmosphere is very nice; the flavors are also very good; but the prices are a bit high.,The atmosphere is very nice; the flavors are also very good; but the prices are a bit high.,The atmosphere is very nice; the flavors are also very good; but the prices are a bit high.,The atmosphere is very nice; the flavors are also very good; but the prices are a bit high.
We went for breakfast in the morning; the atmosphere is nice. breakfast items were good and tasty.,We went for breakfast in the morning; the atmosphere is nice. breakfast items were good and tasty.,We went for breakfast in the morning; the atmosphere is nice. breakfast items were good and tasty.,We went for breakfast in the morning; the atmosphere is nice. breakfast items were good and tasty.
The cafe was cheap enough; I ate with my family.,The cafe was cheap enough; I ate with my family.,The cafe was cheap enough; I ate with my family.,The cafe was cheap enough; I ate with my family.
We ordered breakfast; the table was full. It was truly fascinating. I advise.,We ordered breakfast; the table was full. It was truly fascinating. I advise.,We ordered breakfast; the table was full. It was truly fascinating. I advise.,We ordered breakfast; the table was full. It was truly fascinating. I advise.
The indoor atmosphere was nice; but I can't say the same for the outdoor,The indoor atmosphere was nice; but I can't say the same for the outdoor,The indoor atmosphere was nice; but I can't say the same for the outdoor,The indoor atmosphere was nice; but I can't say the same for the outdoor
We were very satisfied from the staff to the meal.,We were very satisfied from the staff to the meal.,We were very satisfied from the staff to the meal.,We were very satisfied from the staff to the meal.
Ambiance was good.,Ambiance was good.,Ambiance was good.,Ambiance was good.
Clean business; I liked it.,Clean business; I liked it.,Clean business; I liked it.,Clean business; I liked it.
They didn't care about us when we went.,They didn't care about us when we went.,They didn't care about us when we went.,They didn't care about us when we went.
The restaurant is well located and above all it is nicely decorated and clean.,The restaurant is well located and above all it is nicely decorated and clean.,The restaurant is well located and above all it is nicely decorated and clean.,The restaurant is well located and above all it is nicely decorated and clean.
Good quality drinks and food.,Good quality drinks and food.,Good quality drinks and food.,Good quality drinks and food.
