text,rating,Anonymized_Text,Masked_Text,Classification_Result
The treats are constantly being refreshed.. all the waiters are very interested.. The taste was not overly good.,3,The treats are constantly being refreshed.. all the waiters are very interested.. The taste was not overly good.,The treats are constantly being refreshed.. all the waiters are very interested.. The taste was not overly good.,POSITIVE
There was no delay in meals. As soon as the soup was finished; the meal arrived. The meals are quite delicious.,5,There was no delay in meals. As soon as the soup was finished; the meal arrived. The meals are quite delicious.,There was no delay in meals. As soon as the soup was finished; the meal arrived. The meals are quite delicious.,POSITIVE
As soon as you sit down; treats come to your table. Abundant; varied and constantly renewed refreshments. It is a recommendation to everyone who got full marks from us...,5,As soon as you sit down; treats come to your table. Abundant; varied and constantly renewed refreshments. It is a recommendation to everyone who got full marks from us...,As soon as you sit down; treats come to your table. Abundant; varied and constantly renewed refreshments. It is a recommendation to everyone who got full marks from us...,POSITIVE
Lots of quality extras and unlimited treats. After the meal; cigarettes are offered as a treat; which is very interesting.,5,Lots of quality extras and unlimited treats. After the meal; cigarettes are offered as a treat; which is very interesting.,Lots of quality extras and unlimited treats. After the meal; cigarettes are offered as a treat; which is very interesting.,POSITIVE
This is the best aspava restaurant. The treats were perfect.,5,This is the best aspava restaurant. The treats were perfect.,This is the best aspava restaurant. The treats were perfect.,POSITIVE
Appetizers and service came quickly. The glasses are badly scratched. Especially the fries were fresh and delicious. Raw meatballs and stuffed meatballs were like mud without flavor.,3,Appetizers and service came quickly. The glasses are badly scratched. Especially the fries were fresh and delicious. Raw meatballs and stuffed meatballs were like mud without flavor.,Appetizers and service came quickly. The glasses are badly scratched. Especially the fries were fresh and delicious. Raw meatballs and stuffed meatballs were like mud without flavor.,NEGATIVE
I recommend profiteroles and meringue; they are their own production. The entrance is suitable for the disabled. It's good that they're paying attention to this.,5,I recommend profiteroles and meringue; they are their own production. The entrance is suitable for the disabled. It's good that they're paying attention to this.,I recommend profiteroles and meringue; they are their own production. The entrance is suitable for the disabled. It's good that they're paying attention to this.,POSITIVE
The best place to eat local food in Muğla. Master Fikret's food is excellent. You should definitely stop by here.,5,The best place to eat local food in <LOCATION_27>. Master <PERSON_13>'s food is excellent. You should definitely stop by here.,The best place to eat local food in <LOCATION_27>. Master <PERSON_13>'s food is excellent. You should definitely stop by here.,POSITIVE
I went with my friends; their milk desserts were very good.,5,I went with my friends; their milk desserts were very good.,I went with my friends; their milk desserts were very good.,POSITIVE
The cheddar pastry was very bad compared to the past. It has reached the level of a normal patisserie; it used to be better.,3,The cheddar pastry was very bad compared to the past. It has reached the level of a normal patisserie; it used to be better.,The cheddar pastry was very bad compared to the past. It has reached the level of a normal patisserie; it used to be better.,NEGATIVE
We went to eat dessert as a family and we were satisfied. It was a bit crowded.,4,We went to eat dessert as a family and we were satisfied. It was a bit crowded.,We went to eat dessert as a family and we were satisfied. It was a bit crowded.,POSITIVE
It's cold and extremely bad; the price of the food is way above its quality; 46 liras for 6 meatballs; 30 minutes or more waiting time. I definitely don't recommend it.,1,It's cold and extremely bad; the price of the food is way above its quality; 46 liras for 6 meatballs; 30 minutes or more waiting time. I definitely don't recommend it.,It's cold and extremely bad; the price of the food is way above its quality; 46 liras for 6 meatballs; 30 minutes or more waiting time. I definitely don't recommend it.,NEGATIVE
Very good quality and expensive also always crowded.,4,Very good quality and expensive also always crowded.,Very good quality and expensive also always crowded.,POSITIVE
Good.,4,Good.,Good.,POSITIVE
Everything you eat is very fresh and delicious. The back of the place is in the concept of a restaurant and the 2nd floor is in the concept of a cafe. We liked it very much.,5,Everything you eat is very fresh and delicious. The back of the place is in the concept of a restaurant and the 2nd floor is in the concept of a cafe. We liked it very much.,Everything you eat is very fresh and delicious. The back of the place is in the concept of a restaurant and the 2nd floor is in the concept of a cafe. We liked it very much.,POSITIVE
I ate awesome pasta; I recommend to you..,5,I ate awesome pasta; I recommend to you..,I ate awesome pasta; I recommend to you..,POSITIVE
Recommend.,4,Recommend.,Recommend.,POSITIVE
It can be preferred for breakfast. The salt of the flakes was a little lacking; so it affects the taste; but it was not a problem.,3,It can be preferred for breakfast. The salt of the flakes was a little lacking; so it affects the taste; but it was not a problem.,It can be preferred for breakfast. The salt of the flakes was a little lacking; so it affects the taste; but it was not a problem.,NEGATIVE
"Bagel / crispy is tasteless; the outer crust is hard, and the tea is tasteless due to its water. Boiled egg craved but I gave up because it was peeled.",4,"Bagel / crispy is tasteless; the outer crust is hard, and the tea is tasteless due to its water. Boiled egg craved but I gave up because it was peeled.","Bagel / crispy is tasteless; the outer crust is hard, and the tea is tasteless due to its water. Boiled egg craved but I gave up because it was peeled.",NEGATIVE
Prices are very affordable; boyoz is fresh and nice. Finding breakfast items such as olives; cheese and honey in addition to Boyoz also adds to the beauty.,5,Prices are very affordable; boyoz is fresh and nice. Finding breakfast items such as olives; cheese and honey in addition to Boyoz also adds to the beauty.,Prices are very affordable; boyoz is fresh and nice. Finding breakfast items such as olives; cheese and honey in addition to Boyoz also adds to the beauty.,POSITIVE
The most beautiful boyoz is clear here! Those who claim otherwise should reconsider their taste. I have never eaten such good boyoz in my life.,5,The most beautiful boyoz is clear here! Those who claim otherwise should reconsider their taste. I have never eaten such good boyoz in my life.,The most beautiful boyoz is clear here! Those who claim otherwise should reconsider their taste. I have never eaten such good boyoz in my life.,POSITIVE
I like it a lot. Prices are reasonable. Many varieties of boyoz available.,4,I like it a lot. Prices are reasonable. Many varieties of boyoz available.,I like it a lot. Prices are reasonable. Many varieties of boyoz available.,POSITIVE
In terms of taste; minced meat and pastrami were very good. Tahini was medium. Olive was good too.,3,In terms of taste; minced meat and pastrami were very good. Tahini was medium. Olive was good too.,In terms of taste; minced meat and pastrami were very good. Tahini was medium. Olive was good too.,POSITIVE
The boyoz with mozzarella was legendary; the salt taste coming from the back really makes the boyoz delicious.,5,The boyoz with mozzarella was legendary; the salt taste coming from the back really makes the boyoz delicious.,The boyoz with mozzarella was legendary; the salt taste coming from the back really makes the boyoz delicious.,POSITIVE
It's a very cute oven. It opens early in the morning. Boyozes are very delicious; I loved the one with mozzarella.,5,It's a very cute oven. It opens early in the morning. Boyozes are very delicious; I loved the one with mozzarella.,It's a very cute oven. It opens early in the morning. Boyozes are very delicious; I loved the one with mozzarella.,POSITIVE
I ate boyoz for the first time. For me; I guess I wouldn't eat it again. Frankly; it's not a taste that I will look for and miss.,2,I ate boyoz for the first time. For me; I guess I wouldn't eat it again. Frankly; it's not a taste that I will look for and miss.,I ate boyoz for the first time. For me; I guess I wouldn't eat it again. Frankly; it's not a taste that I will look for and miss.,NEGATIVE
I ate a variety of boyoz for the first time and I liked it very much. The service is fast and the atmosphere is friendly. If you come to Izmir; do not pass by here.,5,I ate a variety of boyoz for the first time and I liked it very much. The service is fast and the atmosphere is friendly. If you come to <LOCATION_28>; do not pass by here.,I ate a variety of boyoz for the first time and I liked it very much. The service is fast and the atmosphere is friendly. If you come to <LOCATION_28>; do not pass by here.,POSITIVE
I came with recommendation and it really tasted good. It doesn't have a very different taste; so I don't think you will have a problem whether it fits your palate or not.,4,I came with recommendation and it really tasted good. It doesn't have a very different taste; so I don't think you will have a problem whether it fits your palate or not.,I came with recommendation and it really tasted good. It doesn't have a very different taste; so I don't think you will have a problem whether it fits your palate or not.,POSITIVE
It was the best SushiCo restaurant I've experienced. Sushi was perfect and delicious.,5,It was the best SushiCo restaurant I've experienced. Sushi was perfect and delicious.,It was the best SushiCo restaurant I've experienced. Sushi was perfect and delicious.,POSITIVE
First of all; our orders came very quickly. Edamame came without salt; which we liked a lot. You can add your own. We ordered tuna and salmon as sashimi. I couldn't eat good sashimi in Istanbul for a long time; unfortunately this place did not pass the exam.,3,First of all; our orders came very quickly. Edamame came without salt; which we liked a lot. You can add your own. We ordered tuna and salmon as sashimi. I couldn't eat good sashimi in <LOCATION_18> for a long time; unfortunately this place did not pass the exam.,First of all; our orders came very quickly. Edamame came without salt; which we liked a lot. You can add your own. We ordered tuna and salmon as sashimi. I couldn't eat good sashimi in <LOCATION_18> for a long time; unfortunately this place did not pass the exam.,NEGATIVE
Great atmosphere!,5,Great atmosphere!,Great atmosphere!,POSITIVE
Service was good; transportation was easy. Prices are above average. For those who don't like the taste of raw fish; I recommend roles instead of nigiri.,4,Service was good; transportation was easy. Prices are above average. For those who don't like the taste of raw fish; I recommend roles instead of nigiri.,Service was good; transportation was easy. Prices are above average. For those who don't like the taste of raw fish; I recommend roles instead of nigiri.,POSITIVE
The food is fresh; delicious and the atmosphere is quality as always.,5,The food is fresh; delicious and the atmosphere is quality as always.,The food is fresh; delicious and the atmosphere is quality as always.,POSITIVE
Pretty good sushi; attentive; friendly service..,5,Pretty good sushi; attentive; friendly service..,Pretty good sushi; attentive; friendly service..,POSITIVE
Liked.,4,Liked.,Liked.,POSITIVE
The flavors were good in general; the prices were a bit high.,4,The flavors were good in general; the prices were a bit high.,The flavors were good in general; the prices were a bit high.,POSITIVE
It didn't suit my taste but my wife loved it. The place was beautiful.,3,It didn't suit my taste but my wife loved it. The place was beautiful.,It didn't suit my taste but my wife loved it. The place was beautiful.,POSITIVE
Started off well with nice duck sushi and prawn gyoza; but was given wrong meat in pad Thai so sent it back. No apologies. Ordered spring rolls; they never came.,1,Started off well with nice duck sushi and prawn gyoza; but was given wrong meat in pad Thai so sent it back. No apologies. Ordered spring rolls; they never came.,Started off well with nice duck sushi and prawn gyoza; but was given wrong meat in pad Thai so sent it back. No apologies. Ordered spring rolls; they never came.,NEGATIVE
Very clean restaurant... Tasty suchi and noodles.,5,Very clean restaurant... Tasty suchi and noodles.,Very clean restaurant... Tasty suchi and noodles.,POSITIVE
We ordered sole fish; fried haddock; fried mussels; and sardines. Our favorite among them was sole fish. The only thing that bothered me was that the men's and women's toilets were a common and single toilet.,4,We ordered sole fish; fried haddock; fried mussels; and sardines. Our favorite among them was sole fish. The only thing that bothered me was that the men's and women's toilets were a common and single toilet.,We ordered sole fish; fried haddock; fried mussels; and sardines. Our favorite among them was sole fish. The only thing that bothered me was that the men's and women's toilets were a common and single toilet.,NEGATIVE
The taste really lives up to expectations. It is a business that maintains frying fish; which is essentially a fast food; in accordance with its craft. I liked.,4,The taste really lives up to expectations. It is a business that maintains frying fish; which is essentially a fast food; in accordance with its craft. I liked.,The taste really lives up to expectations. It is a business that maintains frying fish; which is essentially a fast food; in accordance with its craft. I liked.,POSITIVE
Delicious!,5,Delicious!,Delicious!,POSITIVE
Very cheap against portions.,5,Very cheap against portions.,Very cheap against portions.,NEGATIVE
Our back hurt while eating; the place was clean.,2,Our back hurt while eating; the place was clean.,Our back hurt while eating; the place was clean.,POSITIVE
Fish and bread are delicious but the place has gone back every year. Cleanliness and hygiene are almost non-existent; employees are weary and reluctant.,3,Fish and bread are delicious but the place has gone back every year. Cleanliness and hygiene are almost non-existent; employees are weary and reluctant.,Fish and bread are delicious but the place has gone back every year. Cleanliness and hygiene are almost non-existent; employees are weary and reluctant.,NEGATIVE
I think they cook very fast and delicious fish; and they have very sweet employees; I definitely recommend them. I also strongly recommend the pickle juice and sole fish.,5,I think they cook very fast and delicious fish; and they have very sweet employees; I definitely recommend them. I also strongly recommend the pickle juice and sole fish.,I think they cook very fast and delicious fish; and they have very sweet employees; I definitely recommend them. I also strongly recommend the pickle juice and sole fish.,POSITIVE
Prices are a little bit high.,3,Prices are a little bit high.,Prices are a little bit high.,NEGATIVE
We ate our meal on the top floor; the location of the place was beautiful. The flavors and portions were good. I suggest you to eat fish bread.,5,We ate our meal on the top floor; the location of the place was beautiful. The flavors and portions were good. I suggest you to eat fish bread.,We ate our meal on the top floor; the location of the place was beautiful. The flavors and portions were good. I suggest you to eat fish bread.,POSITIVE
I went to there with my girl friend; I liked fishes but she did not like because fishes are a little bit oily.,4,I went to there with my girl friend; I liked fishes but she did not like because fishes are a little bit oily.,I went to there with my girl friend; I liked fishes but she did not like because fishes are a little bit oily.,NEGATIVE
Portions are huge.. sardines are delicious; fish is very oily; so you have to eat bread. Therefore; the best choice is between bread.,4,Portions are huge.. sardines are delicious; fish is very oily; so you have to eat bread. Therefore; the best choice is between bread.,Portions are huge.. sardines are delicious; fish is very oily; so you have to eat bread. Therefore; the best choice is between bread.,POSITIVE
There are only Kumru and Kumpir options; the Kumru is not bad; it needs a little more oil; I can't say it's very tasty. The place is beautiful in terms of location; but there is a crowd; so the staff cannot keep up.,2,There are only Kumru and Kumpir options; the Kumru is not bad; it needs a little more oil; I can't say it's very tasty. The place is beautiful in terms of location; but there is a crowd; so the staff cannot keep up.,There are only Kumru and Kumpir options; the Kumru is not bad; it needs a little more oil; I can't say it's very tasty. The place is beautiful in terms of location; but there is a crowd; so the staff cannot keep up.,NEGATIVE
The material of the kumru is medium quality; the portion is small. We were 3 persons. All three of us had burnt bread.,3,The material of the kumru is medium quality; the portion is small. We were 3 persons. All three of us had burnt bread.,The material of the kumru is medium quality; the portion is small. We were 3 persons. All three of us had burnt bread.,NEGATIVE
Excellent. I recommend.,5,Excellent. I recommend.,Excellent. I recommend.,POSITIVE
I ate the best dove I've ever eaten here. Everyone should come!!,5,I ate the best dove I've ever eaten here. Everyone should come!!,I ate the best dove I've ever eaten here. Everyone should come!!,POSITIVE
"Crowded but no problem, flavor is okay.",4,"Crowded but no problem, flavor is okay.","Crowded but no problem, flavor is okay.",POSITIVE
"Kumpir is delicious. Super Kumru is really good. Compared to other places, we can say that the prices are reasonable and the service quality is high. quality materials used.",5,"Kumpir is delicious. Super Kumru is really good. Compared to other places, we can say that the prices are reasonable and the service quality is high. quality materials used.","Kumpir is delicious. Super Kumru is really good. Compared to other places, we can say that the prices are reasonable and the service quality is high. quality materials used.",POSITIVE
I'm really surprised; it's a huge business; but the staff is so indifferent and bored.,2,I'm really surprised; it's a huge business; but the staff is so indifferent and bored.,I'm really surprised; it's a huge business; but the staff is so indifferent and bored.,NEGATIVE
"Beautiful place; in a perfect location; clean and equipped with quality; these definitely deserve a star; but as someone who loves dove and has experienced it in every corner of Izmir (Alçatı; Bostanlı; İnciraltı; Çeşme; etc.), this ""dove"" is not the only thing that can be said.",4,"Beautiful place; in a perfect location; clean and equipped with quality; these definitely deserve a star; but as someone who loves dove and has experienced it in every corner of <LOCATION_28> (<LOCATION_31>; <LOCATION_30>; İnciraltı; <LOCATION_29>; etc.), this ""dove"" is not the only thing that can be said.","Beautiful place; in a perfect location; clean and equipped with quality; these definitely deserve a star; but as someone who loves dove and has experienced it in every corner of <LOCATION_28> (<LOCATION_31>; <LOCATION_30>; İnciraltı; <LOCATION_29>; etc.), this ""dove"" is not the only thing that can be said.",NEGATIVE
Food came a little late but that was okay. Prices were as you can see in the photo. It wasn't a bad experience.,3,Food came a little late but that was okay. Prices were as you can see in the photo. It wasn't a bad experience.,Food came a little late but that was okay. Prices were as you can see in the photo. It wasn't a bad experience.,POSITIVE
I can recommend it to those who want to eat a delicious dove in a beautiful place. Kumru's price is 45₺.,4,I can recommend it to those who want to eat a delicious dove in a beautiful place. <PERSON_14>'s price is 45₺.,I can recommend it to those who want to eat a delicious dove in a beautiful place. <PERSON_14>'s price is 45₺.,POSITIVE
Definitely. Texts the dove's book. The Kumpir they ordered was also excellent.,5,Definitely. Texts the dove's book. The Kumpir they ordered was also excellent.,Definitely. Texts the dove's book. The Kumpir they ordered was also excellent.,POSITIVE
Bread was a bit stale and no problem except taking the order late and waiting. Meatballs are delicious as always.,4,Bread was a bit stale and no problem except taking the order late and waiting. Meatballs are delicious as always.,Bread was a bit stale and no problem except taking the order late and waiting. Meatballs are delicious as always.,POSITIVE
The order came fast. I loved the doner and chicken. It was well cooked. But orders came late.,4,The order came fast. I loved the doner and chicken. It was well cooked. But orders came late.,The order came fast. I loved the doner and chicken. It was well cooked. But orders came late.,NEGATIVE
The place was really dirty and the orders came late.,3,The place was really dirty and the orders came late.,The place was really dirty and the orders came late.,NEGATIVE
Great service.,4,Great service.,Great service.,POSITIVE
The fact that all the employees were women made me very happy; the tastes were good.,5,The fact that all the employees were women made me very happy; the tastes were good.,The fact that all the employees were women made me very happy; the tastes were good.,POSITIVE
Their service was a little slow; the flavors were on point. I had breakfast; there was unlimited tea; it was a different situation that they brought the tea in a water glass.,3,Their service was a little slow; the flavors were on point. I had breakfast; there was unlimited tea; it was a different situation that they brought the tea in a water glass.,Their service was a little slow; the flavors were on point. I had breakfast; there was unlimited tea; it was a different situation that they brought the tea in a water glass.,NEGATIVE
Great service; attention and relevance It was nice. Everything was perfect.,5,Great service; attention and relevance It was nice. Everything was perfect.,Great service; attention and relevance It was nice. Everything was perfect.,POSITIVE
Its meatballs are beautiful. So is soup and salad too.,5,Its meatballs are beautiful. So is soup and salad too.,Its meatballs are beautiful. So is soup and salad too.,POSITIVE
The meat had a fabricated taste.,4,The meat had a fabricated taste.,The meat had a fabricated taste.,NEGATIVE
Kofteci Yusuf tastes the same everywhere. employees are constantly running towards somewhere; it is very difficult to catch and order.,5,<PERSON_15> tastes the same everywhere. employees are constantly running towards somewhere; it is very difficult to catch and order.,<PERSON_15> tastes the same everywhere. employees are constantly running towards somewhere; it is very difficult to catch and order.,NEGATIVE
We told the staff a very modest breakfast plate; there is unlimited tea; and the breakfast was really good. There was everything up to 4 kinds of cheese and it only cost 54 liras.,5,We told the staff a very modest breakfast plate; there is unlimited tea; and the breakfast was really good. There was everything up to 4 kinds of cheese and it only cost 54 liras.,We told the staff a very modest breakfast plate; there is unlimited tea; and the breakfast was really good. There was everything up to 4 kinds of cheese and it only cost 54 liras.,POSITIVE
Nice atmosphere; pleasant place. The employees are young; smiling and fast. The breakfast is very nice. Souffles are A-MA-ZING!,5,Nice atmosphere; pleasant place. The employees are young; smiling and fast. The breakfast is very nice. Souffles are A-MA-ZING!,Nice atmosphere; pleasant place. The employees are young; smiling and fast. The breakfast is very nice. Souffles are A-MA-ZING!,POSITIVE
They do sushi every thursday and I missed so it was a little sad to miss it. Other than that; the food was good.,5,They do sushi every <DATE_TIME_4> and I missed so it was a little sad to miss it. Other than that; the food was good.,They do sushi every <DATE_TIME_4> and I missed so it was a little sad to miss it. Other than that; the food was good.,POSITIVE
Definitely the best soufflé I've had in a long time. I am satisfied; I recommend.,5,Definitely the best soufflé I've had in a long time. I am satisfied; I recommend.,Definitely the best soufflé I've had in a long time. I am satisfied; I recommend.,POSITIVE
Asian salmon pastas and salad varieties are very successful. They have not neglected to share the secret of their taste.,4,Asian salmon pastas and salad varieties are very successful. They have not neglected to share the secret of their taste.,Asian salmon pastas and salad varieties are very successful. They have not neglected to share the secret of their taste.,POSITIVE
Not bad.,3,Not bad.,Not bad.,POSITIVE
Souffle heaven has a wonderful variety of flavors; I highly recommend it.,5,Souffle heaven has a wonderful variety of flavors; I highly recommend it.,Souffle heaven has a wonderful variety of flavors; I highly recommend it.,POSITIVE
The waiters were understanding; but the food came cold and late.,3,The waiters were understanding; but the food came cold and late.,The waiters were understanding; but the food came cold and late.,NEGATIVE
I tried Antep taco; I liked.,4,I tried Antep taco; I liked.,I tried Antep taco; I liked.,POSITIVE
The prices are the same as the market; but the staff and service quality are better than others; their special tastes are definitely recommended.,5,The prices are the same as the market; but the staff and service quality are better than others; their special tastes are definitely recommended.,The prices are the same as the market; but the staff and service quality are better than others; their special tastes are definitely recommended.,POSITIVE
Not very special Gaziantep dishes; but you can find a comfortable and serene atmosphere in Antep. One of the places that can be stylish for the evening.,3,Not very special <LOCATION_4> dishes; but you can find a comfortable and serene atmosphere in <LOCATION_32>. One of the places that can be stylish for the evening.,Not very special <LOCATION_4> dishes; but you can find a comfortable and serene atmosphere in <LOCATION_32>. One of the places that can be stylish for the evening.,POSITIVE
Taco; on the other hand; was no different than a vegetable wrap wrapped in lavash. It was a decent experience.,1,Taco; on the other hand; was no different than a vegetable wrap wrapped in lavash. It was a decent experience.,Taco; on the other hand; was no different than a vegetable wrap wrapped in lavash. It was a decent experience.,POSITIVE
The staff is very fast; the waffles are great; I definitely recommend it.,5,The staff is very fast; the waffles are great; I definitely recommend it.,The staff is very fast; the waffles are great; I definitely recommend it.,POSITIVE
The waffle was very successful; especially the dough was very delicious. The ice cream they use with such a nice waffle is of very poor quality. The only negative thing is that the employees are constantly checking to see if the food is finished.,4,The waffle was very successful; especially the dough was very delicious. The ice cream they use with such a nice waffle is of very poor quality. The only negative thing is that the employees are constantly checking to see if the food is finished.,The waffle was very successful; especially the dough was very delicious. The ice cream they use with such a nice waffle is of very poor quality. The only negative thing is that the employees are constantly checking to see if the food is finished.,NEGATIVE
Although they are actually a place that makes waffles; their burgers are delicious and they have a lot of options.,4,Although they are actually a place that makes waffles; their burgers are delicious and they have a lot of options.,Although they are actually a place that makes waffles; their burgers are delicious and they have a lot of options.,POSITIVE
It had very good service. It was also nice to have a lot of choices in waffles.,5,It had very good service. It was also nice to have a lot of choices in waffles.,It had very good service. It was also nice to have a lot of choices in waffles.,POSITIVE
You can add the product you want to the waffle or hamburger with your own choice. You're kind of the chief.,3,You can add the product you want to the waffle or hamburger with your own choice. You're kind of the chief.,You can add the product you want to the waffle or hamburger with your own choice. You're kind of the chief.,POSITIVE
Waffles were delicious and their tea was fresh. It wasn't insane for the price. I'm thinking of coming again.,5,Waffles were delicious and their tea was fresh. It wasn't insane for the price. I'm thinking of coming again.,Waffles were delicious and their tea was fresh. It wasn't insane for the price. I'm thinking of coming again.,POSITIVE
Everything was very good; the waffles were very tasty; the employees were very concerned and smiling. It is recommended.,5,Everything was very good; the waffles were very tasty; the employees were very concerned and smiling. It is recommended.,Everything was very good; the waffles were very tasty; the employees were very concerned and smiling. It is recommended.,POSITIVE
It's a great place with everything; it's a very good place whether it's about food or interest; it's a very nice place for waffles.,4,It's a great place with everything; it's a very good place whether it's about food or interest; it's a very nice place for waffles.,It's a great place with everything; it's a very good place whether it's about food or interest; it's a very nice place for waffles.,POSITIVE
I can say that it is the only cafe in Samsun where you can eat waffle dessert properly. You can go without thinking.,5,I can say that it is the only cafe in <LOCATION_6> where you can eat waffle dessert properly. You can go without thinking.,I can say that it is the only cafe in <LOCATION_6> where you can eat waffle dessert properly. You can go without thinking.,POSITIVE
"Good waffles, we liked it.",5,"Good waffles, we liked it.","Good waffles, we liked it.",POSITIVE
I ate better waffle's in past.,2,I ate better waffle's in past.,I ate better waffle's in past.,NEGATIVE
It was the most delicious adana kebab I ate in Alanya. The prices were also normal. The only thing missing was the salad.,4,It was the most delicious adana kebab I ate in <LOCATION_33>. The prices were also normal. The only thing missing was the salad.,It was the most delicious adana kebab I ate in <LOCATION_33>. The prices were also normal. The only thing missing was the salad.,POSITIVE
Renovated is pretty good. There is nothing to say about the food and the soups. Especially the lahmacun was perfect.,5,Renovated is pretty good. There is nothing to say about the food and the soups. Especially the lahmacun was perfect.,Renovated is pretty good. There is nothing to say about the food and the soups. Especially the lahmacun was perfect.,POSITIVE
don't accidentally break a glass or plate; they add 20 lira to your account unannounced.,1,don't accidentally break a glass or plate; they add 20 lira to your account unannounced.,don't accidentally break a glass or plate; they add 20 lira to your account unannounced.,NEGATIVE
Location of the restourant was good; easy to access.,4,Location of the restourant was good; easy to access.,Location of the restourant was good; easy to access.,POSITIVE
Everything is very good; thank you for your efforts; the meats and dishes in the newly added a la carte menus are legendary; I definitely recommend it.,5,Everything is very good; thank you for your efforts; the meats and dishes in the newly added a la carte menus are legendary; I definitely recommend it.,Everything is very good; thank you for your efforts; the meats and dishes in the newly added a la carte menus are legendary; I definitely recommend it.,POSITIVE
smiling employees..,5,smiling employees..,smiling employees..,POSITIVE
Good place to eat. However; the staff work poorly: They can easily forget to bring some dishes or add seasonings; even though they previously admitted to the contrary.,3,Good place to eat. However; the staff work poorly: They can easily forget to bring some dishes or add seasonings; even though they previously admitted to the contrary.,Good place to eat. However; the staff work poorly: They can easily forget to bring some dishes or add seasonings; even though they previously admitted to the contrary.,NEGATIVE
Not the best; but not bad.,3,Not the best; but not bad.,Not the best; but not bad.,POSITIVE
Quite unpolite service; but the meal was good. The salad with the vinegar was extremely good.,3,Quite unpolite service; but the meal was good. The salad with the vinegar was extremely good.,Quite unpolite service; but the meal was good. The salad with the vinegar was extremely good.,POSITIVE
Everything was great; definitely coming back when I'm in Alanya again.,5,Everything was great; definitely coming back when I'm in <LOCATION_33> again.,Everything was great; definitely coming back when I'm in <LOCATION_33> again.,POSITIVE
We came here with my family. Staff was very friendly; responsive and professional. Our order was delivered very quickly. The restaurant serve Turkish cuisine. One of the best in Alanya. Recommended.,5,We came here with my family. Staff was very friendly; responsive and professional. Our order was delivered very quickly. The restaurant serve <LOCATION_17> cuisine. One of the best in <LOCATION_33>. Recommended.,We came here with my family. Staff was very friendly; responsive and professional. Our order was delivered very quickly. The restaurant serve <LOCATION_17> cuisine. One of the best in <LOCATION_33>. Recommended.,POSITIVE
I drank Beyran soup; the taste of the soup was not bad. The lahmacun was good.,4,I drank Beyran soup; the taste of the soup was not bad. The lahmacun was good.,I drank Beyran soup; the taste of the soup was not bad. The lahmacun was good.,POSITIVE
Beyran is really delicious; the service is fast. Friendly and warm waiters.,4,Beyran is really delicious; the service is fast. Friendly and warm waiters.,Beyran is really delicious; the service is fast. Friendly and warm waiters.,POSITIVE
We came to drink beyran soup for breakfast. We really liked the taste. The accompanying breads were delicious.,5,We came to drink beyran soup for breakfast. We really liked the taste. The accompanying breads were delicious.,We came to drink beyran soup for breakfast. We really liked the taste. The accompanying breads were delicious.,POSITIVE
I had eaten Beyran in a few places; but I didn't like it very much. I drank here and liked it. I can drink it every day.,4,I had eaten Beyran in a few places; but I didn't like it very much. I drank here and liked it. I can drink it every day.,I had eaten Beyran in a few places; but I didn't like it very much. I drank here and liked it. I can drink it every day.,POSITIVE
We went for Beyran but it didn't in menu today. We had to order lahmacun and kebab. The lahmacun is awful; the adana kebab and lamb shish kebab are delicious.,3,We went for Beyran but it didn't in menu today. We had to order lahmacun and kebab. The lahmacun is awful; the adana kebab and lamb shish kebab are delicious.,We went for Beyran but it didn't in menu today. We had to order lahmacun and kebab. The lahmacun is awful; the adana kebab and lamb shish kebab are delicious.,POSITIVE
I ate katmer here for the first time and I couldn't forget its taste and smell. It may be the most beautiful dessert in the world!!,5,I ate katmer here for the first time and I couldn't forget its taste and smell. It may be the most beautiful dessert in the world!!,I ate katmer here for the first time and I couldn't forget its taste and smell. It may be the most beautiful dessert in the world!!,POSITIVE
We ate Beyran. We preferred less spicy; the price is 60 TL. The place is clean; the service is fast.,5,We ate Beyran. We preferred less spicy; the price is 60 TL. The place is clean; the service is fast.,We ate Beyran. We preferred less spicy; the price is 60 TL. The place is clean; the service is fast.,POSITIVE
Lahmacun was terrible.,1,Lahmacun was terrible.,Lahmacun was terrible.,NEGATIVE
We tried Lahmacun and Beyran. They were beautiful; thank you.,4,We tried Lahmacun and Beyran. They were beautiful; thank you.,We tried Lahmacun and Beyran. They were beautiful; thank you.,POSITIVE
I'm ending my vacation by leaving my favorite food here..,5,I'm ending my vacation by leaving my favorite food here..,I'm ending my vacation by leaving my favorite food here..,NEGATIVE
We had the opportunity to taste beyran for the first time in our lives and we had heard of the reputation of Metanet's beyran. At first; we had a bit of a prejudice; to be honest; about the intense aroma of meat or fat; but it's not like that at all. Beyrani is so delicious and balanced that we can eat it at any time of the day; morning; noon and evening.,5,We had the opportunity to taste beyran for the first time in our lives and we had heard of the reputation of Metanet's beyran. At first; we had a bit of a prejudice; to be honest; about the intense aroma of meat or fat; but it's not like that at all. Beyrani is so delicious and balanced that we can eat it at any time of the day; morning; noon and evening.,We had the opportunity to taste beyran for the first time in our lives and we had heard of the reputation of Metanet's beyran. At first; we had a bit of a prejudice; to be honest; about the intense aroma of meat or ****; but it's not like that at all. Beyrani is so delicious and balanced that we can eat it at any time of the day; morning; noon and evening.,POSITIVE
